id,Tweet,polarity,subjectivity
1,b'@CharlieCamaraTW Es que el final de ayer fue de esos momentos que yo creo que desde que se transform\xc3\xb3 en Super Saiy\xe2\x80\xa6 https://t.co/SBgioM8dlk',0.16666666666666666,0.8333333333333333
2,"b'RT @SMWikiOfficial: Shogakukan\'s ""Nintendo Official Guidebook: Super Mario World"" guide has a comic where Luigi brags about having a bigger\xe2\x80\xa6'",0.29166666666666663,0.5833333333333333
3,b'\xe3\x82\xb9\xe3\x83\x9e\xe3\x83\x9bRPG\xe3\x81\xaf\xe4\xbb\x8a\xe3\x81\x93\xe3\x82\x8c\xe3\x82\x92\xe3\x82\x84\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x8b\xe3\x82\x88\xe3\x80\x82\xe4\xbb\x8a\xe3\x81\xaf\xe3\x81\x93\xe3\x81\xae\xe3\x82\xa4\xe3\x83\x99\xe3\x83\xb3\xe3\x83\x88\xe3\x81\x8c\xe9\x96\x8b\xe5\x82\xac\xe4\xb8\xad\xef\xbc\x81\xe3\x80\x80\xe2\x86\x92\xe3\x80\x80https://t.co/abgkmTABZ4 https://t.co/jSbITVwWvG',0.0,0.0
4,b'RT @mariobautista_: Hola soy Mario Bautista tengo 22 a\xc3\xb1os de edad soy de la Ciudad de M\xc3\xa9xico \n\nY si alguien les dice que los sue\xc3\xb1os no se h\xe2\x80\xa6',0.0,0.0
5,b'RT @FootyAccums: The midfielders Germany are taking to the World Cup. \n\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Mesut \xc3\x96zil\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Julian Draxler\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Marco Reus\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Mario G\xc3\xb6tze\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Tho\xe2\x80\xa6',0.0,0.0
6,"b""still don't know anything about paper mario but I know this dude looks cool! https://t.co/zRV5G9QxzM""",0.4375,0.65
7,b'Yaaaa @josesosaok efendi. Bi sen bide @Mario_Gomez iflah olmay\xc4\xb1n ikinizde. D\xc3\xbc\xc5\x9ft\xc3\xbc\xc4\x9f\xc3\xbcn\xc3\xbcz \xc3\xa7ukurdan \xc3\xa7\xc4\xb1kamay\xc4\xb1n https://t.co/eCmzeM5Oyz',0.0,0.0
8,b'RT @so_jlm: @MarioSiopa @dt_sofia M\xc3\xa1rio! N\xc3\xa3o era para dizeres aqui',0.0,0.0
9,b'Mario Party 1: Beta Test - EPISODE 1 - Friends Without Benefits: https://t.co/dcM1XQnzc5 via @YouTube',0.0,0.0
10,b'Aqui en la foto iniciando la era Nazi en 1933 con la quema de libros. Ahora en 2018 una afin de AMLO y Morena quier\xe2\x80\xa6 https://t.co/jSQfpgNbM4',0.0,0.0
11,b'RT @mariobautista_: Hola soy Mario Bautista tengo 22 a\xc3\xb1os de edad soy de la Ciudad de M\xc3\xa9xico \n\nY si alguien les dice que los sue\xc3\xb1os no se h\xe2\x80\xa6',0.0,0.0
12,"b'I couldn\xe2\x80\x99t imagine my life without Mario Badescu skin care products, The BEST !'",1.0,0.3
13,b'RT @FootyAccums: The midfielders Germany are taking to the World Cup. \n\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Mesut \xc3\x96zil\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Julian Draxler\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Marco Reus\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Mario G\xc3\xb6tze\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Tho\xe2\x80\xa6',0.0,0.0
14,b'RT @mariobautista_: Hola soy Mario Bautista tengo 22 a\xc3\xb1os de edad soy de la Ciudad de M\xc3\xa9xico \n\nY si alguien les dice que los sue\xc3\xb1os no se h\xe2\x80\xa6',0.0,0.0
15,b'RT @FootyAccums: The midfielders Germany are taking to the World Cup. \n\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Mesut \xc3\x96zil\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Julian Draxler\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Marco Reus\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Mario G\xc3\xb6tze\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Tho\xe2\x80\xa6',0.0,0.0
16,"b'RT @CEUAndalucia: An\xc3\xa1lisis de los retos fiscales y gobernanza medioambiental en @CEUAndalucia con los profesores Ernani Contipelli, Mario J\xe2\x80\xa6'",0.0,0.0
17,"b""RT @warnermusiclat: It's a very special day today - it's @mariobautista_'s BIRTHDAY \xf0\x9f\x8e\x88\xf0\x9f\x8e\x81\xf0\x9f\x8e\x89 Felicidades Mario - que este d\xc3\xada sea especial. Te q\xe2\x80\xa6""",0.4642857142857143,0.7428571428571429
18,b'Gracie Mario!!!\xf0\x9f\x98\x80 https://t.co/A7sl03JOOX',0.0,0.0
19,b'RT @manuelruizcante: Diana Sanchez desmiente en el programa de @Andrea_Llosa toda posible especulaci\xc3\xb3n que se hizo sobre pasar de una amist\xe2\x80\xa6',0.0,0.0
20,b'RT @iheartfinchel: Salamat at klinaro ng abs cbn kahit papaano. At infairness hindi biased ang report ni Sir Mario Dumaual. \n\n#UnangSabakNg\xe2\x80\xa6',0.0,0.0
21,"b'RT @ismaelff16: Corto Circuito en Calle 29, esq. Mario Moreno, Col. Hogar y Redenci\xc3\xb3n. Sale al mando V-9-2-11 en unidad 0382.\n#YoSoyBombero\xe2\x80\xa6'",0.0,0.0
22,b'Aktualnie na tablicy &lt;3\nCzwartek - Energy2000 Live Stream - Bounce INC.\nSobota - LADIES NIGHT - MARIO BISCHIN &amp; DJ\xe2\x80\xa6 https://t.co/bmo164hzgt',0.13636363636363635,0.5
23,b'@JonahMarais how many retweets for you to play mario kart with me in NJ? ill bring the game',-0.13333333333333333,0.6333333333333333
24,"b""RT @warnermusiclat: It's a very special day today - it's @mariobautista_'s BIRTHDAY \xf0\x9f\x8e\x88\xf0\x9f\x8e\x81\xf0\x9f\x8e\x89 Felicidades Mario - que este d\xc3\xada sea especial. Te q\xe2\x80\xa6""",0.4642857142857143,0.7428571428571429
25,b'@MarioSiopa @dt_sofia M\xc3\xa1rio! N\xc3\xa3o era para dizeres aqui',0.0,0.0
26,b'RT @WorldAndScience: 8 bit Mario 3D chalk art https://t.co/uEwenMs49f',0.0,0.0
27,b'\xf0\x9f\x96\xa4 https://t.co/yuOOI3uOVJ',0.0,0.0
28,b'@mario_salio @RobertoBurioni @IaconaRiccardo ne riparliamo quando inventerete dei farmaci senza effetti collaterali!  Fino a quel momento',0.0,0.0
29,b'@cetrencada_ @Elphabaran mario eres un puto pervertido',0.0,0.0
30,b'RT @mariobautista_: Hola soy Mario Bautista tengo 22 a\xc3\xb1os de edad soy de la Ciudad de M\xc3\xa9xico \n\nY si alguien les dice que los sue\xc3\xb1os no se h\xe2\x80\xa6',0.0,0.0
31,b'RT @WorldAndScience: 8 bit Mario 3D chalk art https://t.co/uEwenMs49f',0.0,0.0
32,"b'Muchas gracias por los rt, follows y likes!\n@mario_principe @loriell86 @Ceirily @TortuArt1 @Simlish4\xe2\x80\xa6 https://t.co/sZtgevyJCp'",0.0,0.0
33,b'RT @FootyAccums: The midfielders Germany are taking to the World Cup. \n\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Mesut \xc3\x96zil\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Julian Draxler\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Marco Reus\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Mario G\xc3\xb6tze\n\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa Tho\xe2\x80\xa6',0.0,0.0
34,"b'\xce\x9c\xce\xbf\xcf\x85 \xce\xac\xcf\x81\xce\xb5\xcf\x83\xce\xb5 \xce\xad\xce\xbd\xce\xb1 \xce\xb2\xce\xaf\xce\xbd\xcf\x84\xce\xb5\xce\xbf @YouTube https://t.co/zcBiPF6v3l Lara Fabian - Mario Frangoulis ""All Alone Am I-Live"" (TV'",0.0,0.0
35,"b'RT @ceofanb: Mario Silva: \xe2\x80\x9c\xc2\xbfQuien es Ch\xc3\xa1vez? Ch\xc3\xa1vez es Patria, Ch\xc3\xa1vez es Humanidad\xe2\x80\x9d. #TodosSomosChavez #A5A\xc3\xb1osDeTuSiembraComandante https:/\xe2\x80\xa6'",0.0,0.0
36,b'RT @ColinDieden: I don\xe2\x80\x99t like the person that losing in Mario Kart makes me become',0.0,0.0
37,"b""I mean I hope I get my switch. I'll see if they have em LMAO if not I'll still trade the games in toward Mario and a carrying case and shit""",0.029166666666666657,0.8291666666666666
38,b'perm\xc3\xadtanme que les diga que se predica con el ejemplo. En este equipo de gobierno no hay ni una sola mujer que cobr\xe2\x80\xa6 https://t.co/6FolX7wwg9',0.0,0.0
39,"b""@Bruizel \xc3\x89 um bom jogo. Outro jogo de DS que recomendo \xc3\xa9 Mario &amp; Luigi Bowser's Inside Story, \xc3\xa9 um dos melhores RPGs da franquia Mario""",0.0,0.0
40,b'M\xc3\xa1rio salvou nosso trabalho da Ana Ri Ri',0.0,0.0
41,"b'@chon4_15 Mario has the most unfortunate things happen to him, that dude needs a fucken movie lmao'",0.19999999999999998,0.8333333333333334
42,b'Me ha gustado un v\xc3\xaddeo de @YouTube (https://t.co/SXWv4KvpZh - Super Mario sigue siendo FONTANERO | Nintendo lo deja claro).',0.3333333333333333,0.6666666666666666
43,b'RT @yisucrist: inkreibles los nuevos gr\xc3\xa1ficos del super mario kart https://t.co/pUce95beJC',0.3333333333333333,0.6666666666666666
44,"b'RT @Wreckevin: Le Fran\xc3\xa7ais, cette langue magnifique que les stars am\xc3\xa9ricaines ne ma\xc3\xaetrisent pas, que les anglais bac+18 ne ma\xc3\xaetrisent pas,\xe2\x80\xa6'",0.0,0.0
